player_name,team_initials,match_id,line_up,event,position,shirt_number
DENDONCKER LEANDER,BEL,54,,,,
BATSHUAYI MICHY,BEL,54,,,,
VERMAELEN THOMAS,BEL,54,,,,
ALDERWEIRELD TOBY,BEL,54,,,,
DEMBELE MOUSSA,BEL,54,,,,
BOYATA DEDRYCK,BEL,54,,,,
KOMPANY VINCENT,BEL,54,,,,
FELLAINI MAROUANE,BEL,54,,G74',,
CHADLI NACER,BEL,54,,G95',,
VERTONGHEN JAN,BEL,54,,G69',,
CASTEELS KOEN,BEL,54,,,GK,
MIGNOLET SIMON,BEL,54,,,GK,
MEUNIER THOMAS,BEL,54,,,,
COURTOIS THIBAUT,BEL,54,,,GK,
LUKAKU ROMELU,BEL,54,,,,
INUI TAKASHI,JPN,54,,G52',,
SHIBASAKI GAKU,JPN,54,,,,
OSHIMA RYOTA,JPN,54,,,,
NAGATOMO YUTO,JPN,54,,,,
HARAGUCHI GENKI,JPN,54,,G48',,
KAGAWA SHINJI,JPN,54,,,,
OKAZAKI SHINJI,JPN,54,,,,
SAKAI HIROKI,JPN,54,,,,
OSAKO YUYA,JPN,54,,,,
USAMI TAKASHI,JPN,54,,,,
MUTO YOSHINORI,JPN,54,,,,
YAMAGUCHI HOTARU,JPN,54,,,,
HASEBE MAKOTO,JPN,54,,,,
NAKAMURA KOSUKE,JPN,54,,,GK,
KAWASHIMA EIJI,JPN,54,,,GK,
SHOJI GEN,JPN,54,,,,
HONDA KEISUKE,JPN,54,,,,
SAKAI GOTOKU,JPN,54,,,,
ENDO WATARU,JPN,54,,,,
MAKINO TOMOAKI,JPN,54,,,,
HIGASHIGUCHI MASAAKI,JPN,54,,,GK,
YOSHIDA MAYA,JPN,54,,,,
UEDA NAOMICHI,JPN,54,,,,
player_name,team_initials,match_id,line_up,event,position,shirt_number
MERTENS DRIES,BEL,13,,G47',,
CARRASCO YANNICK,BEL,13,,,,
DE BRUYNE KEVIN,BEL,13,,,,
HAZARD THORGAN,BEL,13,,,,
TIELEMANS YOURI,BEL,13,,,,
WITSEL AXEL,BEL,13,,,,
HAZARD EDEN,BEL,13,,,,
JANUZAJ ADNAN,BEL,13,,,,
DENDONCKER LEANDER,BEL,13,,,,
BATSHUAYI MICHY,BEL,13,,,,
VERMAELEN THOMAS,BEL,13,,,,
ALDERWEIRELD TOBY,BEL,13,,,,
DEMBELE MOUSSA,BEL,13,,,,
BOYATA DEDRYCK,BEL,13,,,,
KOMPANY VINCENT,BEL,13,,,,
FELLAINI MAROUANE,BEL,13,,,,
CHADLI NACER,BEL,13,,,,
VERTONGHEN JAN,BEL,13,,,,
CASTEELS KOEN,BEL,13,,,GK,
MIGNOLET SIMON,BEL,13,,,GK,
MEUNIER THOMAS,BEL,13,,,,
COURTOIS THIBAUT,BEL,13,,,GK,
LUKAKU ROMELU,BEL,13,,G69'G75',,
QUINTERO ALBERTO,PAN,13,,,,
PENEDO JAIME,PAN,13,,,GK,
BARCENAS EDGAR,PAN,13,,,,
DIAZ ISMAEL,PAN,13,,,,
COOPER ARMANDO,PAN,13,,,,
OVALLE LUIS,PAN,13,,,,
TORRES GABRIEL,PAN,13,,,,
RODRIGUEZ JOSE LUIS,PAN,13,,,,
MURILLO MICHAEL,PAN,13,,,,
MACHADO ADOLFO,PAN,13,,,,
PIMENTEL VALENTIN,PAN,13,,,,
DAVIS ERIC,PAN,13,,,,
ESCOBAR FIDEL,PAN,13,,,,
GOMEZ GABRIEL,PAN,13,,,,
ARROYO ABDIEL,PAN,13,,,,
GODOY ANIBAL,PAN,13,,,,
PEREZ BLAS,PAN,13,,,,
RODRIGUEZ ALEX,PAN,13,,,GK,
CALDERON JOSE,PAN,13,,,GK,
TEJADA LUIS,PAN,13,,,,
BALOY FELIPE,PAN,13,,,,
CUMMINGS HAROLD,PAN,13,,,,
TORRES ROMAN,PAN,13,,,,
player_name,team_initials,match_id,line_up,event,position,shirt_number
MERTENS DRIES,BEL,67,,,,
CARRASCO YANNICK,BEL,67,,,,
DE BRUYNE KEVIN,BEL,67,,,,
HAZARD THORGAN,BEL,67,,,,
TIELEMANS YOURI,BEL,67,,,,
WITSEL AXEL,BEL,67,,,,
HAZARD EDEN,BEL,67,,G06'G51',,
JANUZAJ ADNAN,BEL,67,,,,
DENDONCKER LEANDER,BEL,67,,,,
BATSHUAYI MICHY,BEL,67,,G90',,
VERMAELEN THOMAS,BEL,67,,,,
ALDERWEIRELD TOBY,BEL,67,,,,
DEMBELE MOUSSA,BEL,67,,,,
BOYATA DEDRYCK,BEL,67,,,,
KOMPANY VINCENT,BEL,67,,,,
FELLAINI MAROUANE,BEL,67,,,,
CHADLI NACER,BEL,67,,,,
VERTONGHEN JAN,BEL,67,,,,
CASTEELS KOEN,BEL,67,,,GK,
MIGNOLET SIMON,BEL,67,,,GK,
MEUNIER THOMAS,BEL,67,,,,
COURTOIS THIBAUT,BEL,67,,,GK,
LUKAKU ROMELU,BEL,67,,G16'G45',,
SLITI NAIM,TUN,67,,,,
SKHIRI ELLYES,TUN,67,,,,
MERIAH YASSINE,TUN,67,,,,
BADRI ANICE,TUN,67,,,,
CHAALELI GHAYLEN,TUN,67,,,,
HASSEN MOUEZ,TUN,67,,,GK,
SRARFI BASSEM,TUN,67,,,,
MAALOUL ALI,TUN,67,,,,
KHALIFA SABER,TUN,67,,,,
BEN ALOUANE YOHAN,TUN,67,,,,
BRONN DYLAN,TUN,67,,G18',,
BEN AMOR MOHAMED,TUN,67,,,,
KHALIL AHMED,TUN,67,,,,
NAGUEZ HAMDI,TUN,67,,,,
HADDADI OUSSAMA,TUN,67,,,,
KHAOUI SAIFEDDINE,TUN,67,,,,
KHAZRI WAHBI,TUN,67,,G93',,
BEDOUI RAMI,TUN,67,,,,
BEN YOUSSEF FAKHREDDINE,TUN,67,,,,
SASSI FERJANI,TUN,67,,,,
MATHLOUTHI AYMEN,TUN,67,,,GK,
BEN MUSTAPHA FAROUK,TUN,67,,,GK,
BEN YOUSSEF SYAM,TUN,67,,,,
player_name,team_initials,match_id,line_up,event,position,shirt_number
FRED,BRA,58,,,,
TAISON,BRA,58,,,,
FERNANDINHO,BRA,58,,OG13',,
FAGNER,BRA,58,,,,
NEYMAR,BRA,58,,,,
PHILIPPE COUTINHO,BRA,58,,,,
DOUGLAS COSTA,BRA,58,,,,
FILIPE LUIS,BRA,58,,,,
GABRIEL JESUS,BRA,58,,,,
MARQUINHOS,BRA,58,,,,
ROBERTO FIRMINO,BRA,58,,,,
WILLIAN,BRA,58,,,,
MIRANDA,BRA,58,,,,
DANILO,BRA,58,,,,
THIAGO SILVA,BRA,58,,,,
MARCELO,BRA,58,,,,
PAULINHO,BRA,58,,,,
PEDRO GEROMEL,BRA,58,,,,
CASEMIRO,BRA,58,,,,
RENATO AUGUSTO,BRA,58,,G76',,
EDERSON,BRA,58,,,GK,
ALISSON,BRA,58,,,GK,
CASSIO,BRA,58,,,GK,
MERTENS DRIES,BEL,58,,,,
CARRASCO YANNICK,BEL,58,,,,
DE BRUYNE KEVIN,BEL,58,,G31',,
HAZARD THORGAN,BEL,58,,,,
TIELEMANS YOURI,BEL,58,,,,
WITSEL AXEL,BEL,58,,,,
HAZARD EDEN,BEL,58,,,,
JANUZAJ ADNAN,BEL,58,,,,
DENDONCKER LEANDER,BEL,58,,,,
BATSHUAYI MICHY,BEL,58,,,,
VERMAELEN THOMAS,BEL,58,,,,
ALDERWEIRELD TOBY,BEL,58,,,,
DEMBELE MOUSSA,BEL,58,,,,
