match_id,stage,date_time,stadium,home_team_name,away_team_name,group,result,years,city,home_team_goals,away_team_goals,win_conditions,attendance_match,half_time_home_goals,half_time_away_goals,referee,assistant1,assistant2,round_id,home_team_initials,away_team_initials
52,Round of 16,01/07/2018 21:00,Nizhny Novgorod Stadium,Croatia,Denmark,,1 - 1,2018,Nizhny Novgorod,1,1,Croatia win of penalties 3-2,40851,1,1,Néstor Pitana (Arg),,,,CRO,DEN
53,Round of 16,02/07/2018 17:00,Samara Stadium,Brazil,Mexico,,2 - 0,2018,Samara,2,0,,41970,0,0,Gianluca Rocchi (Ita),,,,BRA,MEX
54,Round of 16,02/07/2018 21:00,Rostov-on-Don Stadium,Belgium,Japan,,3 - 2,2018,Rostov-on-Don,3,2,,41466,0,0,Malang Diedhiou (Sen),,,,BEL,JPN
81,Round of 16,03/07/2018 17:00,Saint Petersburg Stadium,Sweden,Switzerland,,1 - 0,2018,Saint Petersburg,1,0,,64042,0,0,Damir Skomina (Svn),,,,SWE,SUI
76,Round of 16,03/07/2018 21:00,Otkrytiye Arena Moscow,Colombia,England,,1 - 1,2018,Moscow,1,1,England win of penalties 3-4,44190,0,0,Mark Geiger (Usa),,,,COL,ENG
77,Quarter Finals,06/07/2018 17:00,Nizhny Novgorod Stadium,Uruguay,France,,0 - 2,2018,Nizhny Novgorod,0,2,,43319,0,1,Néstor Pitana (Arg),,,,URU,FRA
58,Quarter Finals,06/07/2018 21:00,Kazan Arena,Brazil,Belgium,,1 - 2,2018,Kazan,1,2,,42873,0,2,Milorad Mažiæ (Srb),,,,BRA,BEL
59,Quarter Finals,07/07/2018 17:00,Samara Stadium,Sweden,England,,0 - 2,2018,Samara,0,2,,39991,0,1,Björn Kuipers (Ned),,,,SWE,ENG
60,Quarter Finals,07/07/2018 21:00,Fisht Stadium Sochi,Russia,Croatia,,2 - 2,2018,Sochi,2,2,Croatia win of penalties 3-4,44287,1,1,Sandro Ricci (Bra),,,,RUS,CRO
61,Semi Finals,10/07/2018 21:00,Saint Petersburg Stadium,France,Belgium,,1 - 0,2018,Saint Petersburg,1,0,,64286,0,0,Andrés Cunha (Uru),,,,FRA,BEL
62,Semi Finals,11/07/2018 21:00,Luzhniki Stadium Moscow,Croatia,England,,2 - 1,2018,Moscow,2,1,Croatia win in extra time,78011,0,1,Cuneyt Cakur(Tur),,,,ENG,CRO
63,Final third place,14/07/2018 17:00,Saint Petersburg Stadium,Belgium,England,,2 - 0,2018,Saint Petersburg,2,0,,64406,1,0,Alireza Faghani (Irn),,,,BEL,ENG
64,Finals,15/07/2018 18:00,Luzhniki Stadium Moscow,France,Croatia,,4 - 2,2018,Moscow,4,2,,78011,2,1,Néstor Pitana (Arg),,,,FRA,CRO
